EVENT_ID,STATE,MONTH_NAME,EVENT_TYPE,DEATHS_DIRECT,DEATHS_INDIRECT
79884,NEW HAMPSHIRE,February,Heavy Snow,0,0
88334,NEW HAMPSHIRE,April,High Wind,0,0
83820,NEW HAMPSHIRE,March,Heavy Snow,0,0
75727,NEW HAMPSHIRE,January,Heavy Snow,0,0
146588,NEW HAMPSHIRE,December,Heavy Snow,0,0
146824,NEW HAMPSHIRE,December,Ice Storm,0,0
146673,NEW HAMPSHIRE,December,Heavy Snow,0,0
68371,ARKANSAS,February,Hail,0,0
67398,ARKANSAS,January,Thunderstorm Wind,0,0
68005,ARIZONA,January,Flood,0,0
147433,LOUISIANA,December,Heavy Snow,0,0
143292,ILLINOIS,December,Thunderstorm Wind,0,0
143294,LAKE MICHIGAN,December,Marine Thunderstorm Wind,0,0
143297,INDIANA,December,Thunderstorm Wind,0,0
143439,ILLINOIS,December,Cold/Wind Chill,1,0
143449,ILLINOIS,December,Cold/Wind Chill,1,0
143468,ILLINOIS,December,Cold/Wind Chill,3,0
140735,KENTUCKY,December,Dense Fog,0,0
140736,KENTUCKY,December,Dense Fog,0,0
140738,KENTUCKY,December,Dense Fog,0,0
140739,KENTUCKY,December,Dense Fog,0,0
140740,KENTUCKY,December,Dense Fog,0,0
140741,KENTUCKY,December,Dense Fog,0,0
140742,KENTUCKY,December,Dense Fog,0,0
140743,KENTUCKY,December,Dense Fog,0,0
140744,KENTUCKY,December,Dense Fog,0,0
140745,KENTUCKY,December,Dense Fog,0,0
74159,SOUTH CAROLINA,March,Thunderstorm Wind,0,0
74161,SOUTH CAROLINA,March,Thunderstorm Wind,0,0
86576,SOUTH CAROLINA,May,Hail,0,0
86580,SOUTH CAROLINA,May,Hail,0,0
86786,GEORGIA,May,Hail,0,0
86787,GEORGIA,May,Hail,0,0
86788,SOUTH CAROLINA,May,Hail,0,0
86789,SOUTH CAROLINA,May,Thunderstorm Wind,0,0
86790,SOUTH CAROLINA,May,Hail,0,0
86792,SOUTH CAROLINA,May,Hail,0,0
94565,TEXAS,April,Hail,0,0
94577,TEXAS,April,Hail,0,0
94578,TEXAS,April,Hail,0,0
146423,IOWA,December,Winter Weather,0,0
146424,IOWA,December,Winter Weather,0,0
146425,IOWA,December,Winter Weather,0,0
146426,IOWA,December,Winter Weather,0,0
139305,WISCONSIN,July,Thunderstorm Wind,0,0
139307,MINNESOTA,July,Thunderstorm Wind,0,0
139308,MINNESOTA,July,Thunderstorm Wind,0,0
139309,MINNESOTA,July,Thunderstorm Wind,0,0
139319,MINNESOTA,July,High Wind,0,0
139323,MINNESOTA,July,High Wind,0,0
139303,ATLANTIC SOUTH,December,Marine Thunderstorm Wind,0,0
146479,NORTH CAROLINA,December,Heavy Snow,0,0
146480,NORTH CAROLINA,December,Heavy Snow,0,0
146481,NORTH CAROLINA,December,Heavy Snow,0,0
146482,NORTH CAROLINA,December,Heavy Snow,0,0
